train_number,train_name,train_type,origin_station,destination_station,zone_id,priority,total_stops,avg_speed_kmph
12177,Kharagpur Junction - New Jalpaiguri Shatabdi,Shatabdi,KGP,NJP,SER,1,4,95
12178,Ernakulam Junction - Barddhaman Junction Shatabdi,Shatabdi,ERS,BWN,SR,1,5,95
12179,Agra Cantt - Ernakulam Junction Superfast,Superfast,AGC,ERS,NCR,2,6,75
12180,Howrah Junction - Mumbai Central Passenger,Passenger,HWH,BCT,ER,5,6,40
12181,Guwahati - New Jalpaiguri MEMU,MEMU,GHY,NJP,NFR,4,2,45
12182,Surat - Jaipur Junction Express,Express,ST,JP,WR,3,4,60
12183,Ambala Cantt Junction - Guwahati Express,Express,UMB,GHY,NR,3,6,60
12184,Barddhaman Junction - Raipur Junction MEMU,MEMU,BWN,R,ER,4,6,45
12185,Ratlam Junction - Kalyan Junction Shatabdi,Shatabdi,RTM,KYN,WR,1,4,95
12186,Ahmedabad Junction - Asansol Junction Superfast,Superfast,ADI,ASN,WR,2,5,75
12187,Bilaspur Junction - Sealdah Superfast,Superfast,BSP,SDAH,SECR,2,4,75
12188,Bhopal Junction - Tatanagar Junction Shatabdi,Shatabdi,BPL,TATA,WCR,1,5,95
12189,Amritsar Junction - Howrah Junction Superfast,Superfast,ASR,HWH,NR,2,4,75
12190,Bilaspur Junction - Jodhpur Junction Express,Express,BSP,JU,SECR,3,5,60
12191,Jabalpur Junction - Madurai Junction Express,Express,JBP,MDU,WCR,3,5,60
12192,Ahmedabad Junction - Guwahati Freight,Freight,ADI,GHY,WR,6,2,35
12193,Ernakulam Junction - Bilaspur Junction Freight,Freight,ERS,BSP,SR,6,5,35
12194,Muzaffarpur Junction - Visakhapatnam Passenger,Passenger,MFP,VSKP,ECR,5,5,40
12195,Amritsar Junction - Chhatrapati Shivaji Maharaj Terminus Express,Express,ASR,CSMT,NR,3,4,60
12196,Solapur Junction - Barddhaman Junction Passenger,Passenger,SUR,BWN,CR,5,7,40
12197,KSR Bengaluru City Junction - Chennai Egmore Express,Express,SBC,MS,SWR,3,4,60
12198,Ludhiana Junction - Patna Junction Express,Express,LDH,PNBE,NR,3,4,60
12199,Mysuru Junction - Coimbatore Junction Superfast,Superfast,MYS,CBE,SWR,2,5,75
12200,Patna Junction - Hubballi Junction Passenger,Passenger,PNBE,UBL,ECR,5,6,40
12201,Visakhapatnam - New Jalpaiguri Passenger,Passenger,VSKP,NJP,ECoR,5,5,40
12202,Gorakhpur Junction - Visakhapatnam Express,Express,GKP,VSKP,NER,3,5,60
12203,Amritsar Junction - Guwahati Express,Express,ASR,GHY,NR,3,6,60
12204,Chennai Egmore - Bilaspur Junction Express,Express,MS,BSP,SR,3,5,60
12205,Ernakulam Junction - Bhusaval Junction Rajdhani,Rajdhani,ERS,BSL,SR,1,5,90
12206,Mysuru Junction - Asansol Junction Freight,Freight,MYS,ASN,SWR,6,7,35
12207,Sealdah - Chhatrapati Shivaji Maharaj Terminus Superfast,Superfast,SDAH,CSMT,ER,2,4,75
12208,Asansol Junction - Agra Cantt Superfast,Superfast,ASN,AGC,ER,2,5,75
12209,Solapur Junction - Jhansi Junction MEMU,MEMU,SUR,JHS,CR,4,4,45
12210,Pune Junction - Jaipur Junction MEMU,MEMU,PUNE,JP,CR,4,3,45
12211,Coimbatore Junction - Jhansi Junction Passenger,Passenger,CBE,JHS,SR,5,6,40
12212,Sealdah - Jhansi Junction Rajdhani,Rajdhani,SDAH,JHS,ER,1,4,90
12213,Ahmedabad Junction - Secunderabad Junction Superfast,Superfast,ADI,SC,WR,2,5,75
12214,Kalyan Junction - Guwahati Freight,Freight,KYN,GHY,CR,6,5,35
12215,Thiruvananthapuram Central - Jhansi Junction Superfast,Superfast,TVC,JHS,SR,2,5,75
12216,KSR Bengaluru City Junction - Ludhiana Junction Express,Express,SBC,LDH,SWR,3,5,60
12217,Chennai Central - Hyderabad Deccan Express,Express,MAS,HYB,SR,3,3,60
12218,Madgaon Junction - Mysuru Junction Express,Express,MAO,MYS,KR,3,3,60
12219,Puri - Howrah Junction Express,Express,PURI,HWH,ECoR,3,6,60
12220,Ernakulam Junction - Barddhaman Junction Freight,Freight,ERS,BWN,SR,6,5,35
12221,Muzaffarpur Junction - Mysuru Junction Passenger,Passenger,MFP,MYS,ECR,5,7,40
12222,Raipur Junction - Kota Junction Superfast,Superfast,R,COR,SECR,2,4,75
12223,Bhopal Junction - Hyderabad Deccan Express,Express,BPL,HYB,WCR,3,4,60
12224,Jodhpur Junction - New Jalpaiguri Passenger,Passenger,JU,NJP,NWR,5,7,40
12225,Amritsar Junction - Chennai Central Shatabdi,Shatabdi,ASR,MAS,NR,1,4,95
12226,Nagpur Junction - Bhusaval Junction Express,Express,NGP,BSL,CR,3,3,60
12227,Vijayawada Junction - Bhopal Junction MEMU,MEMU,BZA,BPL,SCR,4,2,45
12228,Jaipur Junction - Thiruvananthapuram Central Superfast,Superfast,JP,TVC,NWR,2,2,75
12229,New Jalpaiguri - Ahmedabad Junction Superfast,Superfast,NJP,ADI,NFR,2,3,75
12230,Ernakulam Junction - Jodhpur Junction Superfast,Superfast,ERS,JU,SR,2,4,75
12231,Howrah Junction - Ahmedabad Junction MEMU,MEMU,HWH,ADI,ER,4,5,45
12232,Chennai Central - Vijayawada Junction Express,Express,MAS,BZA,SR,3,3,60
12233,New Jalpaiguri - Chennai Egmore Superfast,Superfast,NJP,MS,NFR,2,6,75
12234,Prayagraj Junction - New Delhi Express,Express,PRYJ,NDLS,NCR,3,2,60
12235,Mumbai Central - Hyderabad Deccan Passenger,Passenger,BCT,HYB,WR,5,5,40
12236,Howrah Junction - Madurai Junction Passenger,Passenger,HWH,MDU,ER,5,4,40
12237,Tatanagar Junction - Jabalpur Junction Passenger,Passenger,TATA,JBP,SER,5,4,40
12238,Ludhiana Junction - Kalyan Junction Superfast,Superfast,LDH,KYN,NR,2,5,75
12239,Delhi Junction (Old Delhi) - Vijayawada Junction Passenger,Passenger,DLI,BZA,NR,5,4,40
12240,Ernakulam Junction - Kharagpur Junction MEMU,MEMU,ERS,KGP,SR,4,3,45
12241,Vijayawada Junction - Mumbai Central Express,Express,BZA,BCT,SCR,3,4,60
12242,Vijayawada Junction - Bilaspur Junction Superfast,Superfast,BZA,BSP,SCR,2,4,75
12243,Prayagraj Junction - Delhi Junction (Old Delhi) Express,Express,PRYJ,DLI,NCR,3,3,60
12244,Mysuru Junction - Ajmer Junction Express,Express,MYS,AII,SWR,3,6,60
12245,Solapur Junction - New Delhi Freight,Freight,SUR,NDLS,CR,6,4,35
12246,Bilaspur Junction - Ludhiana Junction MEMU,MEMU,BSP,LDH,SECR,4,4,45
12247,Ernakulam Junction - Agra Cantt Express,Express,ERS,AGC,SR,3,6,60
12248,Tatanagar Junction - New Jalpaiguri Rajdhani,Rajdhani,TATA,NJP,SER,1,5,90
12249,New Jalpaiguri - Secunderabad Junction Express,Express,NJP,SC,NFR,3,6,60
12250,Bhubaneswar - Tiruchchirapalli Junction Express,Express,BBS,TPJ,ECoR,3,4,60
12251,Prayagraj Junction - Raipur Junction MEMU,MEMU,PRYJ,R,NCR,4,3,45
12252,Mysuru Junction - New Delhi Freight,Freight,MYS,NDLS,SWR,6,5,35
12253,Patna Junction - Surat Express,Express,PNBE,ST,ECR,3,5,60
12254,Bhopal Junction - Cuttack Junction Shatabdi,Shatabdi,BPL,CTC,WCR,1,5,95
12255,Madurai Junction - Howrah Junction Passenger,Passenger,MDU,HWH,SR,5,4,40
12256,New Delhi - Kalyan Junction Freight,Freight,NDLS,KYN,NR,6,4,35
12257,Madgaon Junction - Chennai Central Express,Express,MAO,MAS,KR,3,5,60
12258,Bhubaneswar - Surat Superfast,Superfast,BBS,ST,ECoR,2,3,75
12259,Gorakhpur Junction - Bhusaval Junction Express,Express,GKP,BSL,NER,3,6,60
12260,Agra Cantt - Kalyan Junction Express,Express,AGC,KYN,NCR,3,4,60
12261,Howrah Junction - Ratlam Junction Passenger,Passenger,HWH,RTM,ER,5,5,40
12262,Asansol Junction - Nagpur Junction Express,Express,ASN,NGP,ER,3,6,60
12263,Hubballi Junction - Kharagpur Junction Superfast,Superfast,UBL,KGP,SWR,2,5,75
12264,Madgaon Junction - Kalyan Junction Rajdhani,Rajdhani,MAO,KYN,KR,1,2,90
12265,Madurai Junction - Tatanagar Junction Passenger,Passenger,MDU,TATA,SR,5,4,40
12266,Mysuru Junction - New Delhi Express,Express,MYS,NDLS,SWR,3,5,60
12267,Puri - Gorakhpur Junction Passenger,Passenger,PURI,GKP,ECoR,5,6,40
12268,Solapur Junction - Sealdah Freight,Freight,SUR,SDAH,CR,6,5,35
12269,Hyderabad Deccan - Chennai Central Superfast,Superfast,HYB,MAS,SCR,2,3,75
12270,New Delhi - Guwahati Rajdhani,Rajdhani,NDLS,GHY,NR,1,5,90
12271,Coimbatore Junction - Gorakhpur Junction Express,Express,CBE,GKP,SR,3,5,60
12272,Chennai Egmore - Prayagraj Junction Shatabdi,Shatabdi,MS,PRYJ,SR,1,5,95
12273,Agra Cantt - Bhopal Junction Superfast,Superfast,AGC,BPL,NCR,2,3,75
12274,Prayagraj Junction - Cuttack Junction Passenger,Passenger,PRYJ,CTC,NCR,5,5,40
12275,Amritsar Junction - Puri Passenger,Passenger,ASR,PURI,NR,5,5,40
12276,Mysuru Junction - Thiruvananthapuram Central Passenger,Passenger,MYS,TVC,SWR,5,5,40
12277,Nagpur Junction - Amritsar Junction Superfast,Superfast,NGP,ASR,CR,2,4,75
12278,Ratlam Junction - Mysuru Junction Passenger,Passenger,RTM,MYS,WR,5,5,40
12279,Hyderabad Deccan - Muzaffarpur Junction Freight,Freight,HYB,MFP,SCR,6,6,35
12280,Nagpur Junction - New Delhi Express,Express,NGP,NDLS,CR,3,3,60
12281,Ambala Cantt Junction - Delhi Junction (Old Delhi) Superfast,Superfast,UMB,DLI,NR,2,3,75
12282,Cuttack Junction - Nagpur Junction Freight,Freight,CTC,NGP,ECoR,6,4,35
12283,Amritsar Junction - Bhopal Junction Freight,Freight,ASR,BPL,NR,6,4,35
12284,Visakhapatnam - Sealdah Freight,Freight,VSKP,SDAH,ECoR,6,3,35
12285,KSR Bengaluru City Junction - New Jalpaiguri MEMU,MEMU,SBC,NJP,SWR,4,6,45
12286,Muzaffarpur Junction - Ajmer Junction Passenger,Passenger,MFP,AII,ECR,5,7,40
12287,Ahmedabad Junction - Kalyan Junction Passenger,Passenger,ADI,KYN,WR,5,4,40
12288,Ernakulam Junction - Surat Express,Express,ERS,ST,SR,3,6,60
12289,Howrah Junction - Kalyan Junction Express,Express,HWH,KYN,ER,3,6,60
12290,New Jalpaiguri - Ernakulam Junction Passenger,Passenger,NJP,ERS,NFR,5,6,40
12291,Amritsar Junction - New Jalpaiguri Rajdhani,Rajdhani,ASR,NJP,NR,1,5,90
12292,Visakhapatnam - Hyderabad Deccan MEMU,MEMU,VSKP,HYB,ECoR,4,4,45
