event_id,train_number,station_id,timestamp,delay_minutes,cause_category,reported_text
EVT000087,12224,JU,2026-02-06 22:00,29,Signal,Signal failure near Jodhpur Junction causing hold-up.
EVT000088,12144,MAS,2026-02-17 10:45,40,Rolling Stock,Coach fault detected during pre-departure check at Chennai Central.
EVT000089,12113,NDLS,2026-01-13 21:45,8,Weather,"Dense fog conditions near New Delhi, speed restricted."
EVT000090,12126,BCT,2026-01-19 13:00,62,Signal,Automatic signalling fault reported at Mumbai Central yard.
EVT000091,12066,BCT,2026-02-02 11:15,39,Rolling Stock,"Locomotive failure reported, engine change required at Mumbai Central."
EVT000092,12203,GHY,2026-01-17 13:00,47,Infrastructure,Track maintenance block in effect near Guwahati.
EVT000093,12269,SC,2026-02-03 05:45,2,Crew,Loco pilot booking-on delay at Secunderabad Junction.
EVT000094,12308,ADI,2026-02-12 06:00,30,Passenger,"Medical emergency on board, halted at Ahmedabad Junction."
EVT000095,12052,PUNE,2026-02-26 12:00,39,Operational,Platform congestion at Pune Junction delaying berthing.
EVT000096,12103,SDAH,2026-02-13 07:00,34,Weather,High wind speed advisory near Sealdah affecting running.
EVT000097,12191,JP,2026-01-27 20:45,9,Infrastructure,Track maintenance block in effect near Jaipur Junction.
EVT000098,12092,KYN,2026-02-08 06:00,26,Signal,Signal failure near Kalyan Junction causing hold-up.
EVT000099,12241,BBS,2026-02-28 02:00,44,Crew,Guard unavailability causing hold at Bhubaneswar.
EVT000100,12123,SC,2026-02-16 23:45,34,Rolling Stock,Coach fault detected during pre-departure check at Secunderabad Junction.
EVT000101,12234,NDLS,2026-02-18 14:45,31,Rolling Stock,Coach fault detected during pre-departure check at New Delhi.
EVT000102,12182,JP,2026-02-09 01:15,55,Infrastructure,Overhead equipment (OHE) tripping reported near Jaipur Junction.
EVT000103,12258,ST,2026-01-13 11:00,43,Weather,Heavy rain reducing visibility near Surat.
EVT000104,12025,KYN,2026-01-14 18:30,1,Rolling Stock,Coach fault detected during pre-departure check at Kalyan Junction.
EVT000105,12105,BBS,2026-01-09 06:15,1,Passenger,Passenger chain-pulling incident near Bhubaneswar.
EVT000106,12042,DURG,2026-02-17 02:30,20,Rolling Stock,Brake power certification delay at Durg Junction.
EVT000107,12266,SBC,2026-01-10 12:30,36,Rolling Stock,"Locomotive failure reported, engine change required at KSR Bengaluru City Junction."
EVT000108,12221,MYS,2026-01-28 00:45,2,Passenger,"Medical emergency on board, halted at Mysuru Junction."
EVT000109,12144,MAS,2026-02-22 09:30,21,Signal,Points failure at Chennai Central delaying departure.
EVT000110,12244,AII,2026-03-01 13:30,20,Signal,Points failure at Ajmer Junction delaying departure.
EVT000111,12125,PNBE,2026-02-26 18:45,15,Operational,Platform congestion at Patna Junction delaying berthing.
EVT000112,12027,RTM,2026-01-04 13:30,6,Crew,Loco pilot booking-on delay at Ratlam Junction.
EVT000113,12086,VSKP,2026-02-21 11:15,47,Signal,Automatic signalling fault reported at Visakhapatnam yard.
EVT000114,12236,MDU,2026-01-24 17:15,33,Signal,Points failure at Madurai Junction delaying departure.
EVT000115,12135,DURG,2026-02-07 21:30,1,Operational,Late running of connecting rake into Durg Junction.
EVT000116,12183,PNBE,2026-02-13 23:30,10,Signal,Points failure at Patna Junction delaying departure.
EVT000117,12298,SUR,2026-02-23 12:30,23,Weather,"Dense fog conditions near Solapur Junction, speed restricted."
EVT000118,12221,SBC,2026-01-10 07:00,10,Passenger,Passenger chain-pulling incident near KSR Bengaluru City Junction.
EVT000119,12132,TVC,2026-02-26 23:45,54,Operational,Crossing conflict with another service at Thiruvananthapuram Central.
EVT000120,12275,ASR,2026-02-01 00:00,74,Rolling Stock,Brake power certification delay at Amritsar Junction.
EVT000121,12301,SDAH,2026-01-03 03:30,11,Passenger,"Medical emergency on board, halted at Sealdah."
EVT000122,12231,NJP,2026-03-01 19:15,16,Signal,Automatic signalling fault reported at New Jalpaiguri yard.
EVT000123,12250,MAS,2026-02-17 04:00,81,Passenger,Passenger chain-pulling incident near Chennai Central.
EVT000124,12158,SC,2026-01-31 22:00,14,Signal,Points failure at Secunderabad Junction delaying departure.
EVT000125,12253,ST,2026-01-16 03:45,34,Infrastructure,Track maintenance block in effect near Surat.
EVT000126,12113,CBE,2026-02-17 15:15,24,Infrastructure,Speed restriction due to track renewal work near Coimbatore Junction.
EVT000127,12044,BSP,2026-01-12 15:30,16,Operational,Crossing conflict with another service at Bilaspur Junction.
EVT000128,12091,NDLS,2026-02-28 21:15,47,Crew,Crew shortage reported at New Delhi link.
EVT000129,12287,BCT,2026-02-28 02:30,18,Rolling Stock,Brake power certification delay at Mumbai Central.
EVT000130,12026,AGC,2026-01-26 16:00,2,Operational,Crossing conflict with another service at Agra Cantt.
EVT000131,12183,UMB,2026-01-27 21:45,21,Rolling Stock,"Locomotive failure reported, engine change required at Ambala Cantt Junction."
EVT000132,12215,JP,2026-02-07 09:00,7,Crew,Guard unavailability causing hold at Jaipur Junction.
EVT000133,12122,HYB,2026-02-10 00:30,31,Operational,Late running of connecting rake into Hyderabad Deccan.
EVT000134,12189,HWH,2026-01-27 03:00,48,Signal,Signal failure near Howrah Junction causing hold-up.
EVT000135,12106,ERS,2026-01-17 11:00,46,Rolling Stock,Brake power certification delay at Ernakulam Junction.
EVT000136,12076,SC,2026-01-26 02:15,28,Rolling Stock,"Locomotive failure reported, engine change required at Secunderabad Junction."
EVT000137,12074,MS,2026-02-17 09:45,52,Weather,High wind speed advisory near Chennai Egmore affecting running.
EVT000138,12248,MLDT,2026-01-31 18:45,14,Infrastructure,Speed restriction due to track renewal work near Malda Town.
EVT000139,12101,PNBE,2026-01-11 15:00,37,Crew,Loco pilot booking-on delay at Patna Junction.
EVT000140,12104,KGP,2026-02-23 05:15,26,Crew,Loco pilot booking-on delay at Kharagpur Junction.
EVT000141,12288,ST,2026-01-08 04:45,29,Signal,Automatic signalling fault reported at Surat yard.
EVT000142,12207,DLI,2026-02-19 00:00,48,Operational,Crossing conflict with another service at Delhi Junction (Old Delhi).
EVT000143,12199,CBE,2026-02-22 16:45,30,Operational,Platform congestion at Coimbatore Junction delaying berthing.
EVT000144,12238,DLI,2026-02-23 16:30,19,Weather,High wind speed advisory near Delhi Junction (Old Delhi) affecting running.
EVT000145,12177,HWH,2026-01-12 06:00,74,Passenger,"Medical emergency on board, halted at Howrah Junction."
EVT000146,12096,JHS,2026-01-14 20:30,31,Rolling Stock,Coach fault detected during pre-departure check at Jhansi Junction.
EVT000147,12232,MAS,2026-02-08 16:30,28,Rolling Stock,"Locomotive failure reported, engine change required at Chennai Central."
EVT000148,12000,JBP,2026-01-01 22:00,15,Infrastructure,Track maintenance block in effect near Jabalpur Junction.
EVT000149,12081,BCT,2026-02-19 16:15,32,Infrastructure,Speed restriction due to track renewal work near Mumbai Central.
EVT000150,12227,BZA,2026-01-25 06:30,42,Operational,Platform congestion at Vijayawada Junction delaying berthing.
EVT000151,12117,COR,2026-02-02 22:15,19,Rolling Stock,"Locomotive failure reported, engine change required at Kota Junction."
EVT000152,12124,BBS,2026-01-01 21:45,36,Operational,Late running of connecting rake into Bhubaneswar.
EVT000153,12298,CSMT,2026-02-12 02:30,94,Crew,Crew shortage reported at Chhatrapati Shivaji Maharaj Terminus link.
EVT000154,12032,RTM,2026-02-11 05:00,23,Signal,Automatic signalling fault reported at Ratlam Junction yard.
EVT000155,12248,NJP,2026-01-26 13:45,36,Weather,"Dense fog conditions near New Jalpaiguri, speed restricted."
EVT000156,12117,COR,2026-02-09 09:45,14,Weather,Heavy rain reducing visibility near Kota Junction.
EVT000157,12259,DD,2026-01-21 18:30,63,Weather,"Dense fog conditions near Daund Junction, speed restricted."
EVT000158,12005,KYN,2026-02-13 15:00,81,Infrastructure,Speed restriction due to track renewal work near Kalyan Junction.
EVT000159,12088,BBS,2026-02-23 07:45,16,Weather,"Dense fog conditions near Bhubaneswar, speed restricted."
EVT000160,12111,NDLS,2026-01-13 21:00,107,Weather,High wind speed advisory near New Delhi affecting running.
EVT000161,12102,BBS,2026-02-14 14:30,29,Weather,"Dense fog conditions near Bhubaneswar, speed restricted."
EVT000162,12231,ADI,2026-02-10 10:00,17,Signal,Points failure at Ahmedabad Junction delaying departure.
EVT000163,12127,GHY,2026-01-30 02:15,1,Rolling Stock,Brake power certification delay at Guwahati.
EVT000164,12203,NDLS,2026-02-24 19:30,29,Signal,Points failure at New Delhi delaying departure.
EVT000165,12309,PNBE,2026-02-02 07:15,51,Crew,Crew shortage reported at Patna Junction link.
EVT000166,12037,PNBE,2026-02-07 14:45,63,Signal,Automatic signalling fault reported at Patna Junction yard.
EVT000167,12211,COR,2026-01-27 11:45,30,Crew,Loco pilot booking-on delay at Kota Junction.
EVT000168,12177,HWH,2026-01-11 04:45,70,Crew,Crew shortage reported at Howrah Junction link.
EVT000169,12290,ERS,2026-02-12 00:15,23,Infrastructure,Speed restriction due to track renewal work near Ernakulam Junction.
EVT000170,12156,COR,2026-02-07 09:15,87,Operational,Late running of connecting rake into Kota Junction.
EVT000171,12131,TPJ,2026-01-27 12:00,1,Operational,Late running of connecting rake into Tiruchchirapalli Junction.
EVT000172,12121,PUNE,2026-02-24 13:30,42,Crew,Guard unavailability causing hold at Pune Junction.
EVT000173,12174,MAS,2026-02-15 18:00,83,Passenger,Overcrowding-related boarding delay at Chennai Central.
EVT000174,12188,BPL,2026-01-26 23:45,15,Rolling Stock,Brake power certification delay at Bhopal Junction.
EVT000175,12096,SBC,2026-02-17 11:15,1,Operational,Crossing conflict with another service at KSR Bengaluru City Junction.
EVT000176,12007,JP,2026-02-19 09:00,15,Signal,Signal failure near Jaipur Junction causing hold-up.
EVT000177,12235,NGP,2026-02-12 07:45,63,Rolling Stock,"Locomotive failure reported, engine change required at Nagpur Junction."
EVT000178,12271,CBE,2026-03-01 14:15,56,Crew,Crew shortage reported at Coimbatore Junction link.
EVT000179,12071,JP,2026-02-15 06:00,76,Operational,Platform congestion at Jaipur Junction delaying berthing.
EVT000180,12080,NDLS,2026-02-06 19:45,1,Passenger,"Medical emergency on board, halted at New Delhi."
EVT000181,12244,UBL,2026-01-13 20:45,1,Operational,Platform congestion at Hubballi Junction delaying berthing.
EVT000182,12151,CSMT,2026-01-15 12:30,51,Infrastructure,Overhead equipment (OHE) tripping reported near Chhatrapati Shivaji Maharaj Terminus.
EVT000183,12247,ERS,2026-01-01 11:45,58,Rolling Stock,Brake power certification delay at Ernakulam Junction.
EVT000184,12166,NGP,2026-02-23 06:45,50,Passenger,"Medical emergency on board, halted at Nagpur Junction."
EVT000185,12244,MAO,2026-02-08 07:00,8,Infrastructure,Overhead equipment (OHE) tripping reported near Madgaon Junction.
EVT000186,12128,MFP,2026-02-07 23:30,47,Crew,Loco pilot booking-on delay at Muzaffarpur Junction.
EVT000187,12217,MAS,2026-01-16 22:00,1,Crew,Loco pilot booking-on delay at Chennai Central.
EVT000188,12264,KYN,2026-01-08 01:15,21,Rolling Stock,Coach fault detected during pre-departure check at Kalyan Junction.
EVT000189,12108,BBS,2026-02-23 13:15,16,Signal,Automatic signalling fault reported at Bhubaneswar yard.
EVT000190,12139,CTC,2026-02-27 01:00,21,Passenger,Overcrowding-related boarding delay at Cuttack Junction.
EVT000191,12167,NGP,2026-01-19 12:00,40,Signal,Automatic signalling fault reported at Nagpur Junction yard.
EVT000192,12311,TATA,2026-02-16 00:00,30,Rolling Stock,"Locomotive failure reported, engine change required at Tatanagar Junction."
EVT000193,12036,BWN,2026-01-03 14:15,79,Crew,Guard unavailability causing hold at Barddhaman Junction.
EVT000194,12259,PNBE,2026-01-26 14:15,47,Infrastructure,Speed restriction due to track renewal work near Patna Junction.
EVT000195,12158,SBC,2026-02-06 07:00,30,Crew,Guard unavailability causing hold at KSR Bengaluru City Junction.
EVT000196,12309,MAS,2026-01-07 18:30,55,Signal,Points failure at Chennai Central delaying departure.
EVT000197,12193,BSP,2026-01-01 11:30,32,Signal,Signal failure near Bilaspur Junction causing hold-up.
EVT000198,12277,ASR,2026-02-20 22:15,41,Infrastructure,Overhead equipment (OHE) tripping reported near Amritsar Junction.
EVT000199,12034,SUR,2026-01-13 11:30,59,Signal,Points failure at Solapur Junction delaying departure.
EVT000200,12007,JP,2026-02-12 18:30,9,Infrastructure,Track maintenance block in effect near Jaipur Junction.
EVT000201,12092,KYN,2026-02-07 01:15,1,Crew,Crew shortage reported at Kalyan Junction link.
EVT000202,12126,NDLS,2026-01-29 21:45,1,Crew,Loco pilot booking-on delay at New Delhi.
EVT000203,12199,MYS,2026-01-11 23:30,54,Rolling Stock,"Locomotive failure reported, engine change required at Mysuru Junction."
EVT000204,12103,NDLS,2026-01-20 00:15,29,Operational,Late running of connecting rake into New Delhi.
EVT000205,12313,COR,2026-01-19 09:15,1,Operational,Platform congestion at Kota Junction delaying berthing.
EVT000206,12270,PRYJ,2026-01-27 07:15,20,Crew,Guard unavailability causing hold at Prayagraj Junction.
EVT000207,12291,ASR,2026-01-29 22:00,2,Infrastructure,Track maintenance block in effect near Amritsar Junction.
EVT000208,12197,MS,2026-02-02 05:00,3,Rolling Stock,Coach fault detected during pre-departure check at Chennai Egmore.
EVT000209,12062,NDLS,2026-01-08 07:15,1,Operational,Platform congestion at New Delhi delaying berthing.
EVT000210,12039,BPL,2026-01-27 01:30,18,Rolling Stock,Coach fault detected during pre-departure check at Bhopal Junction.
EVT000211,12229,GHY,2026-02-15 21:15,1,Passenger,Passenger chain-pulling incident near Guwahati.
EVT000212,12116,KGP,2026-02-03 14:30,31,Operational,Crossing conflict with another service at Kharagpur Junction.
EVT000213,12138,ADI,2026-01-16 21:00,1,Rolling Stock,"Locomotive failure reported, engine change required at Ahmedabad Junction."
EVT000214,12213,NGP,2026-02-01 16:45,1,Rolling Stock,"Locomotive failure reported, engine change required at Nagpur Junction."
EVT000215,12304,SC,2026-02-12 05:45,26,Weather,"Dense fog conditions near Secunderabad Junction, speed restricted."
EVT000216,12174,BBS,2026-01-05 06:45,63,Operational,Crossing conflict with another service at Bhubaneswar.
EVT000217,12295,HWH,2026-01-07 22:30,66,Rolling Stock,Coach fault detected during pre-departure check at Howrah Junction.
EVT000218,12117,COR,2026-01-12 11:45,17,Rolling Stock,Brake power certification delay at Kota Junction.
EVT000219,12153,BZA,2026-02-04 04:30,47,Infrastructure,Track maintenance block in effect near Vijayawada Junction.
EVT000220,12214,BBS,2026-02-08 18:00,1,Passenger,Overcrowding-related boarding delay at Bhubaneswar.
EVT000221,12057,BZA,2026-01-07 03:30,70,Crew,Guard unavailability causing hold at Vijayawada Junction.
EVT000222,12221,JHS,2026-02-20 07:30,16,Operational,Platform congestion at Jhansi Junction delaying berthing.
EVT000223,12163,PRYJ,2026-01-03 20:30,27,Rolling Stock,"Locomotive failure reported, engine change required at Prayagraj Junction."
EVT000224,12211,BPL,2026-02-04 00:15,1,Operational,Late running of connecting rake into Bhopal Junction.
EVT000225,12107,SC,2026-02-14 01:15,34,Operational,Crossing conflict with another service at Secunderabad Junction.
EVT000226,12163,PRYJ,2026-01-04 07:30,56,Operational,Late running of connecting rake into Prayagraj Junction.
EVT000227,12176,JBP,2026-02-04 18:15,30,Infrastructure,Track maintenance block in effect near Jabalpur Junction.
EVT000228,12153,SC,2026-01-24 04:30,46,Operational,Crossing conflict with another service at Secunderabad Junction.
EVT000229,12231,GHY,2026-01-22 23:45,8,Rolling Stock,Brake power certification delay at Guwahati.
EVT000230,12068,NGP,2026-02-04 00:15,77,Infrastructure,Track maintenance block in effect near Nagpur Junction.
EVT000231,12137,SC,2026-01-25 03:45,53,Weather,Heavy rain reducing visibility near Secunderabad Junction.
EVT000232,12261,HWH,2026-02-07 14:30,14,Weather,"Dense fog conditions near Howrah Junction, speed restricted."
EVT000233,12213,CSMT,2026-02-10 15:00,113,Passenger,Passenger chain-pulling incident near Chhatrapati Shivaji Maharaj Terminus.
EVT000234,12284,SDAH,2026-01-18 15:45,4,Weather,High wind speed advisory near Sealdah affecting running.
EVT000235,12094,BSP,2026-02-28 03:15,1,Crew,Crew shortage reported at Bilaspur Junction link.
EVT000236,12292,HYB,2026-02-19 22:15,8,Infrastructure,Speed restriction due to track renewal work near Hyderabad Deccan.
EVT000237,12114,NDLS,2026-02-18 12:15,13,Crew,Loco pilot booking-on delay at New Delhi.
EVT000238,12123,SC,2026-02-25 23:00,1,Crew,Guard unavailability causing hold at Secunderabad Junction.
EVT000239,12184,BWN,2026-02-09 05:30,21,Rolling Stock,Brake power certification delay at Barddhaman Junction.
EVT000240,12271,MAS,2026-01-16 02:30,77,Operational,Platform congestion at Chennai Central delaying berthing.
EVT000241,12026,LDH,2026-02-27 05:15,25,Infrastructure,Overhead equipment (OHE) tripping reported near Ludhiana Junction.
EVT000242,12243,DLI,2026-01-20 19:00,33,Infrastructure,Overhead equipment (OHE) tripping reported near Delhi Junction (Old Delhi).
EVT000243,12228,TVC,2026-01-29 03:45,6,Passenger,Overcrowding-related boarding delay at Thiruvananthapuram Central.
EVT000244,12299,NDLS,2026-01-09 02:15,22,Rolling Stock,"Locomotive failure reported, engine change required at New Delhi."
EVT000245,12187,PRYJ,2026-02-28 17:30,44,Crew,Loco pilot booking-on delay at Prayagraj Junction.
EVT000246,12149,KYN,2026-01-29 12:00,57,Infrastructure,Speed restriction due to track renewal work near Kalyan Junction.
EVT000247,12268,SUR,2026-02-06 05:30,13,Operational,Late running of connecting rake into Solapur Junction.
EVT000248,12224,JP,2026-02-20 20:30,25,Crew,Loco pilot booking-on delay at Jaipur Junction.
EVT000249,12239,DLI,2026-01-26 06:15,33,Operational,Platform congestion at Delhi Junction (Old Delhi) delaying berthing.
EVT000250,12283,ASR,2026-01-07 15:15,46,Rolling Stock,Brake power certification delay at Amritsar Junction.
EVT000251,12201,MLDT,2026-01-14 22:45,32,Signal,Automatic signalling fault reported at Malda Town yard.
EVT000252,12311,TATA,2026-02-21 09:45,11,Crew,Loco pilot booking-on delay at Tatanagar Junction.
EVT000253,12292,BZA,2026-01-17 20:15,1,Weather,High wind speed advisory near Vijayawada Junction affecting running.
EVT000254,12017,UMB,2026-01-04 22:00,67,Operational,Crossing conflict with another service at Ambala Cantt Junction.
EVT000255,12210,PUNE,2026-01-10 16:30,1,Passenger,"Medical emergency on board, halted at Pune Junction."
EVT000256,12162,TPJ,2026-02-18 00:30,60,Signal,Automatic signalling fault reported at Tiruchchirapalli Junction yard.
